Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type
tkv	fbgn0003716	Mad	fbgn0011648	suppressible
Pc	fbgn0003042	ebi	fbgn0263933	suppressible
shn	fbgn0003396	per	fbgn0003068	suppressible
robo1|sli	fbgn0005631|fbgn0264089	Nedd4	fbgn0259174	enhanceable
COX5A	fbgn0019624	PPP1R15	fbgn0034948	suppressible
ct	fbgn0004198	Psc	fbgn0005624	suppressible
Rheb	fbgn0041191	Tor	fbgn0021796	suppressible
stwl	fbgn0003459	rpr	fbgn0011706	suppressible
sd	fbgn0003345	vg	fbgn0003975	enhanceable
rpr	fbgn0011706	Diap2	fbgn0015247	suppressible
shi	fbgn0003392	ttk	fbgn0003870	enhanceable
Nop60B	fbgn0259937	wg	fbgn0284084	suppressible
Rab32	fbgn0002567	w	fbgn0003996	enhanceable
in	fbgn0001259	frtz	fbgn0086698	suppressible
seq	fbgn0028991	CadN	fbgn0015609	suppressible
Stoml2	fbgn0034936	park	fbgn0041100	suppressible
stg	fbgn0003525	hfp	fbgn0028577	suppressible
rpr	fbgn0011706	Bruce	fbgn0266717	enhanceable
g	fbgn0001087	w	fbgn0003996	enhanceable
hep	fbgn0010303	ena	fbgn0000578	suppressible
tkv	fbgn0003716	sax	fbgn0003317	enhanceable
msk	fbgn0026252	Rac1	fbgn0010333	suppressible
Mmp1	fbgn0035049	Mmp2	fbgn0033438	enhanceable
Apc	fbgn0015589	ewg	fbgn0005427	suppressible
TkR99D	fbgn0004622	G?5	fbgn0030011	suppressible
N	fbgn0004647	Su(H)	fbgn0004837	suppressible
w	fbgn0003996	Doa	fbgn0265998	enhanceable
Ubx	fbgn0003944	ash2	fbgn0000139	enhanceable
IntS8	fbgn0025830	erm	fbgn0031375	suppressible
mam	fbgn0002643	Ser	fbgn0004197	enhanceable
Vinc	fbgn0004397	mys	fbgn0004657	suppressible
vas	fbgn0283442	bel::vas	fbgn0285916	suppressible
sc	fbgn0004170	su(Hw)	fbgn0003567	suppressible
norpA	fbgn0262738	Vps35|w	fbgn0034708|fbgn0003996	suppressible
kst	fbgn0004167	tum	fbgn0086356	enhanceable
g|z	fbgn0001087|fbgn0004050	E(z)	fbgn0000629	enhanceable
spn-A	fbgn0003479	barr|vls	fbgn0014127|fbgn0003978	suppressible
kcc	fbgn0261794	jbug	fbgn0028371	enhanceable
N	fbgn0004647	Su(H)	fbgn0004837	suppressible
lace	fbgn0002524	Spt-I	fbgn0086532	enhanceable
Pten	fbgn0026379	DJ-1?	fbgn0033885	suppressible
Gr59c	fbgn0041235	Gr22e	fbgn0045497	suppressible
phyl	fbgn0013725	E(spl)m8-HLH	fbgn0000591	suppressible
so	fbgn0003460	nej	fbgn0261617	suppressible
wg	fbgn0284084	eRF1	fbgn0036974	suppressible
Dg	fbgn0034072	Dl	fbgn0000463	enhanceable
sd	fbgn0003345	vg	fbgn0003975	enhanceable
chic	fbgn0000308	capu	fbgn0000256	enhanceable
Akt1	fbgn0010379	Tsc1	fbgn0026317	suppressible
rl	fbgn0003256	Jra	fbgn0001291	suppressible
smo	fbgn0003444	S(smoDN)1378	fbgn0083156	suppressible
robo1	fbgn0005631	robo1::robo3	fbgn0261939	suppressible
Doa	fbgn0265998	Cpsf6	fbgn0035872	suppressible
siz	fbgn0026179	fra	fbgn0011592	enhanceable
Dronc	fbgn0026404	Usp15-31	fbgn0050421	suppressible
E(z)	fbgn0000629	Pc	fbgn0003042	suppressible
hid	fbgn0003997	Rcc1	fbgn0002638	suppressible
Rala	fbgn0015286	Ras85D	fbgn0003205	enhanceable
Myt1	fbgn0040298	stg	fbgn0003525	enhanceable
b	fbgn0000153	qs	fbgn0003186	suppressible
dpp	fbgn0000490	lilli	fbgn0041111	enhanceable
Ras85D	fbgn0003205	Cka	fbgn0044323	suppressible
Mtl|Rac1|Rac2	fbgn0039532|fbgn0010333|fbgn0014011	hep	fbgn0010303	suppressible
pnr	fbgn0003117	ppo	fbgn0041099	enhanceable
Myb	fbgn0002914	nej	fbgn0261617	enhanceable
pnr	fbgn0003117	tai	fbgn0041092	enhanceable
peb	fbgn0003053	vkg	fbgn0016075	suppressible
pnr	fbgn0003117	Fmr1	fbgn0028734	enhanceable
Dl	fbgn0000463	Not3	fbgn0033029	enhanceable
